 'PT'      'LAT'        'LON'        'N'          'LOCAL'
   0     38.6934139  -9.4185228     53.34         'CASC'
  23     38.6464107  -8.2398556     54.79         'Montemor-o-Novo'
   8     39.2974349  -7.4388163     55.19         'Portalegre'
 999     37.0989367  -8.6683792     52.49         'Lagos'
 155     37.1945561  -7.4155946     52.45         'VRSAntónio'
 311     38.6623772  -8.6184849     53.96         'Pegões'
 338     38.8317925  -7.8376357     55.18         'Vimieiro'
 293     38.7824677  -7.4215464     55.09         'Vila_Viçosa'
  21     38.4330498  -7.5330498     55.18         'Reguengos'
  21     39.5160932  -7.6493626     55.08         'Nisa'
 999     38.0128831  -7.8737575     54.84         'EPBeja'
   2     39.3643353  -9.1500577     53.75         'Caldas_Rainha'
 351     39.4655638  -8.5260584     54.29         'Torres_Novas'
 190     38.1815856  -8.5547879     53.96         'Gândola'
