ELIPSES DE ERRO RELATIVAS

#ESTAC.1   #ESTAC.2    E1(m)     E2(m)    RUMO E1(gr)
       1      16        .035      .028    121.76
       1      13        .023      .018     16.38
       1      11        .031      .028     93.18
       1       2        .026      .021    156.46
       1       4        .037      .031    148.97
       1      25        .032      .027     77.54
       2       1        .026      .021    156.46
       2      11        .028      .027    157.38
       2       6        .034      .028    103.71
       2       3        .026      .023    144.50
       2       4        .029      .025     59.76
       3       2        .026      .023    144.50
       3       6        .033      .022    110.29
       3       4        .034      .026    104.31
       4      25        .038      .032    131.37
       4       1        .037      .031    148.97
       4       2        .029      .025     59.76
       4       3        .034      .026    104.31
       4       5        .035      .010     67.58
       5      25        .041      .037    178.67
       5       4        .035      .010     67.58
       5      22        .042      .034    130.03
       6      11        .038      .025    106.25
       6       8        .035      .032    108.53
       6       9        .063      .036    124.41
       6       3        .033      .022    110.29
       6       2        .034      .028    103.71
       7      27        .031      .028    178.18
       7      26        .029      .024     59.38
       7      15        .067      .049     77.23
       7      22        .056      .031     99.17
       7      24        .035      .023    151.15
       7      23        .021      .017     17.32
       7      17        .024      .017    107.80
       8      11        .033      .022    170.57
       8      10        .040      .011     11.79
       8       9        .054      .018    139.12
       8       6        .035      .032    108.53
      10      12        .042      .031    145.91
      10      11        .031      .018     50.07
      10       8        .040      .011     11.79
      11      28        .041      .033    117.66
      11      12        .044      .030    169.55
      11      10        .031      .018     50.07
      11       8        .033      .022    170.57
      11       6        .038      .025    106.25
      11       2        .028      .027    157.38
      11       1        .031      .028     93.18
      11      13        .034      .027    116.35
      12      28        .043      .032     64.45
      12      11        .044      .030    169.55
      12      10        .042      .031    145.91
      13      16        .032      .025    113.99
      13      28        .023      .013     13.53
      13      11        .034      .027    116.35
      13       1        .023      .018     16.38
      15      14        .358      .027     86.41
      15      26        .069      .038     77.19
      15       7        .067      .049     77.23
      15      22        .045      .045    131.79
      15      25        .031      .027    155.77
      15      16        .033      .018     87.86
      16      15        .033      .018     87.86
      16      25        .035      .033       .72
      16       1        .035      .028    121.76
      16      13        .032      .025    113.99
      16      28        .034      .026     88.96
      17      27        .029      .023     51.41
      17       7        .024      .017    107.80
      17      23        .027      .019    131.74
      17      18        .017      .015     69.71
      17      19        .018      .016     99.85
      18      21        .041      .026    154.30
      18      19        .019      .014     93.85
      18      17        .017      .015     69.71
      18      23        .030      .021    112.86
      18      20        .051      .018     44.36
      19      21        .038      .014    148.24
      19      27        .033      .025     58.75
      19      17        .018      .016     99.85
      19      18        .019      .014     93.85
      20      21        .064      .018     12.43
      20      18        .051      .018     44.36
      20      23        .065      .033     58.46
      21      20        .064      .018     12.43
      21      18        .041      .026    154.30
      21      19        .038      .014    148.24
      21      27        .048      .034    118.53
      22      24        .051      .031     79.29
      22       7        .056      .031     99.17
      22      15        .045      .045    131.79
      22      25        .034      .024     58.54
      22       5        .042      .034    130.03
      23      20        .065      .033     58.46
      23      18        .030      .021    112.86
      23      17        .027      .019    131.74
      23       7        .021      .017     17.32
      23      24        .030      .014    129.73
      24      23        .030      .014    129.73
      24       7        .035      .023    151.15
      24      22        .051      .031     79.29
      25      15        .031      .027    155.77
      25      16        .035      .033       .72
      25       1        .032      .027     77.54
      25       4        .038      .032    131.37
      25       5        .041      .037    178.67
      25      22        .034      .024     58.54
      26      27        .031      .018    121.42
      26       7        .029      .024     59.38
      26      15        .069      .038     77.19
      26      14        .367      .017     84.39
      27      21        .048      .034    118.53
      27      19        .033      .025     58.75
      27      17        .029      .023     51.41
      27       7        .031      .028    178.18
      27      26        .031      .018    121.42
      28      16        .034      .026     88.96
      28      13        .023      .013     13.53
      28      11        .041      .033    117.66
      28      12        .043      .032     64.45
