VISADA     DIST.OBS     PRECIS.     DIST.ELIPS.     PESO      RUMO
 1   2     3995.1489     .0064       3995.1417    24022.8   350.6526
 1   3     8007.7679     .0094       8007.7544    11040.8      .2241
 1   4     6629.1158     .0083       6629.1077    14272.2    34.1327
 1   5     8019.3778     .0095       8019.3693    11017.8    40.5485
 1   6     9675.5942     .0109       9675.5723     8295.6   338.2705
 1   7    14672.6990     .0155      14672.6922     4095.1   275.3151
 1   8    10638.0025     .0118      10637.9672     7121.8   302.6824
 1   9    13378.6033     .0143      13378.5538     4823.9   307.2293
 1  10    10132.3850     .0113      10132.3487     7707.7    89.6179
 1  11     6167.1215     .0079       6167.1047    15610.8   281.0009
 1  12     9606.3547     .0108       9606.3248     8390.0    55.8094
 1  13     3311.9601     .0060       3311.9537    27356.9    30.4809
 1  14    11051.9503     .0121      11051.9428     6687.3   297.5779
 1  15     7452.1511     .0090       7452.1434    12218.4   314.3208
 1  16     5603.9080     .0075       5603.9002    17445.6   337.2128
 1  17    17890.3752     .0186      17890.3676     2851.6   277.8972
 1  18    20314.1666     .0209      20314.1574     2248.3   271.5073
 1  19    20688.9575     .0213      20688.9482     2172.0   283.5164
 1  20    24056.5476     .0246      24056.5335     1629.9    84.6294
 1  21    23091.9227     .0236      23091.9112     1762.7   288.7192
 1  22     9351.3745     .0106       9351.3678     8750.7    77.7860
 1  23    16271.3868     .0170      16271.3798     3395.9    85.1031
 1  24    14598.5657     .0154      14598.5588     4132.4    78.2443
 1  25     5341.5682     .0073       5341.5627    18381.4   272.0587
 1  26    13144.6568     .0141      13144.6497     4975.2   291.6693
 1  27    16334.1022     .0171      16334.0949     3372.1   293.1999
 1  28     5529.9523     .0075       5529.9409    17704.1    24.7088
 2   3     4122.1217     .0065       4122.1143    23433.1     9.4981
 2   4     4633.7537     .0068       4633.7476    21174.2    70.5221
 2   5     6244.5354     .0080       6244.5283    15376.3    69.8465
 2   6     5836.6082     .0077       5836.5944    16659.3   329.8303
 2   7    16153.2212     .0169      16153.2128     3441.4   289.1587
 2   8     8498.1765     .0099       8498.1473    10121.5   282.2439
 2   9    10830.8589     .0119      10830.8175     6914.6   292.5415
 2  10    10296.1085     .0114      10296.0704     7510.9    67.0807
 2  11     6071.2145     .0079       6071.1973    15907.0    62.9049
 2  12    11852.9232     .0129      11852.8850     5945.9    37.9990
 2  13     6874.1258     .0085       6874.1117    13618.8     8.6268
 2  14    13826.0632     .0147      13826.0529     4552.2   310.9338
 2  15    10929.9831     .0120      10929.9708     6811.3   326.8277
 2  16     9534.9335     .0108       9534.9192     8488.9   342.8014
 2  17    19452.6079     .0201      19452.5987     2439.2   289.2089
 2  18    21428.8242     .0220      21428.8136     2032.2   282.0578
 2  19    22543.8410     .0231      22543.8299     1845.4   292.9145
 2  20    24657.8580     .0252      24657.8427     1554.5   273.9311
 2  21    25219.2005     .0257      25219.1870     1488.6   296.7547
 2  22     9983.6229     .0112       9983.6150     7892.7   281.3435
 2  23    17053.0913     .0178      17053.0830     3115.8   278.6105
 2  24    14972.5965     .0158      14972.5886     3949.0   273.7060
 2  25     7275.5822     .0088       7275.5741    12626.0   304.6247
 2  26    15584.0949     .0164      15584.0854     3673.5   304.3610
 2  27    18787.7395     .0194      18787.7300     2603.3   303.5260
 2  28     9118.5906     .0104       9118.5709     9098.6    10.5059
 3   4     4467.3152     .0067       4467.3098    21887.6   304.3475
 3   5     5524.2371     .0075       5524.2312    17724.3   290.2732
 3   6     3744.0917     .0062       3744.0832    25218.9   285.1796
 3   7    17328.1797     .0180      17328.1718     3025.2   302.7216
 3   8     9265.7519     .0105       9265.7212     8876.5    75.8611
 3   9    10683.9592     .0118      10683.9197     7071.7   270.4635
 3  10    12980.9776     .0139      12980.9312     5085.1    51.5315
 3  11     9148.2009     .0104       9148.1760     9053.3    41.6955
 3  12    15600.0003     .0164      15599.9519     3666.7    30.7554
 3  13    10995.9192     .0121      10995.8978     6743.9     8.9534
 3  14    16358.4715     .0171      16358.4605     3363.0   323.3494
 3  15    14237.6456     .0151      14237.6308     4321.3   338.1444
 3  16    13346.7437     .0143      13346.7250     4844.0   350.7773
 3  17    20553.4977     .0212      20553.4891     2199.1   300.6103
 3  18    22001.7596     .0226      22001.7497     1932.9   292.8453
 3  19    23839.8545     .0244      23839.8438     1658.4   302.5971
 3  20    24602.4098     .0251      24602.3954     1561.2   283.5306
 3  21    26733.4847     .0272      26733.4714     1330.3   305.2224
 3  22    10923.1442     .0120      10923.1364     6818.4   303.5025
 3  23    17482.0669     .0182      17482.0594     2976.2   292.2471
 3  24    15123.2585     .0159      15123.2514     3878.4   289.4403
 3  25     9767.0548     .0110       9767.0446     8173.1   327.0889
 3  26    17716.5010     .0184      17716.4914     2903.7   316.5482
 3  27    20809.6042     .0214      20809.5948     2148.3   313.9495
 3  28    13240.2753     .0142      13240.2482     4912.5    10.1922
 4   5     1612.0398     .0053       1612.0388    35653.9    67.9040
 4   6     8097.7038     .0095       8097.6897    10864.2   295.6156
 4   7    12863.2886     .0138      12863.2860     5166.3   302.1570
 4   8    12676.0483     .0136      12676.0140     5299.4   271.1623
