ELIPSES DE ERRO RELATIVAS

#ESTAC.1   #ESTAC.2    E1(m)     E2(m)    RUMO E1(gr)
       1      16        .033      .027    119.20
       1      13        .022      .017     14.44
       1      11        .029      .026     80.23
       1       2        .025      .019    154.17
       1       4        .035      .030    149.93
       1      25        .030      .026     77.99
       2       1        .025      .019    154.17
       2      11        .027      .024    171.90
       2       6        .032      .026    113.44
       2       3        .025      .022    149.72
       2       4        .028      .024     62.25
       3       2        .025      .022    149.72
       3       6        .032      .021    111.48
       3       4        .033      .025    106.30
       4      25        .037      .030    132.95
       4       1        .035      .030    149.93
       4       2        .028      .024     62.25
       4       3        .033      .025    106.30
       4       5        .034      .009     67.80
       5      25        .039      .036       .19
       5       4        .034      .009     67.80
       5      22        .040      .032    131.60
       6      11        .033      .021    121.31
       6       8        .033      .018    148.07
       6       9        .041      .008    171.65
       6       3        .032      .021    111.48
       6       2        .032      .026    113.44
       7      27        .027      .024     68.52
       7      26        .026      .021     79.60
       7      15        .063      .046     81.05
       7      22        .053      .030     99.07
       7      24        .032      .022    149.27
       7      23        .019      .017     24.78
       7      17        .020      .016    115.67
       8      11        .031      .021    166.77
       8      10        .038      .011     11.73
       8       9        .034      .017    146.00
       8       6        .033      .018    148.07
      10      12        .041      .030    144.72
      10      11        .030      .017     49.45
      10       8        .038      .011     11.73
      11      28        .039      .031    113.17
      11      12        .042      .029    168.07
      11      10        .030      .017     49.45
      11       8        .031      .021    166.77
      11       6        .033      .021    121.31
      11       2        .027      .024    171.90
      11       1        .029      .026     80.23
      11      13        .032      .026    112.07
      12      28        .041      .031     63.03
      12      11        .042      .029    168.07
      12      10        .041      .030    144.72
      13      16        .030      .024    112.99
      13      28        .022      .013     13.35
      13      11        .032      .026    112.07
      13       1        .022      .017     14.44
      15      14        .027      .006    178.99
      15      26        .066      .035     77.86
      15       7        .063      .046     81.05
      15      22        .043      .041    102.35
      15      25        .029      .026    151.06
      15      16        .032      .018     87.69
      16      15        .032      .018     87.69
      16      25        .033      .032    169.97
      16       1        .033      .027    119.20
      16      13        .030      .024    112.99
      16      28        .032      .025     88.17
      17      27        .024      .020     85.33
      17       7        .020      .016    115.67
      17      23        .021      .018    118.83
      17      18        .016      .014     92.08
      17      19        .016      .015     98.91
      18      21        .025      .018     45.09
      18      19        .018      .012     91.10
      18      17        .016      .014     92.08
      18      23        .023      .020    115.14
      18      20        .025      .017     35.76
      19      21        .023      .014    156.87
      19      27        .026      .023     98.42
      19      17        .016      .015     98.91
      19      18        .018      .012     91.10
      20      21        .018      .010    102.03
      20      18        .025      .017     35.76
      20      23        .037      .029     26.43
      21      20        .018      .010    102.03
      21      18        .025      .018     45.09
      21      19        .023      .014    156.87
      21      27        .035      .029    160.63
      22      24        .049      .029     81.47
      22       7        .053      .030     99.07
      22      15        .043      .041    102.35
      22      25        .033      .023     60.39
      22       5        .040      .032    131.60
      23      20        .037      .029     26.43
      23      18        .023      .020    115.14
      23      17        .021      .018    118.83
      23       7        .019      .017     24.78
      23      24        .029      .013    130.80
      24      23        .029      .013    130.80
      24       7        .032      .022    149.27
      24      22        .049      .029     81.47
      25      15        .029      .026    151.06
      25      16        .033      .032    169.97
      25       1        .030      .026     77.99
      25       4        .037      .030    132.95
      25       5        .039      .036       .19
      25      22        .033      .023     60.39
      26      27        .028      .018    122.14
      26       7        .026      .021     79.60
      26      15        .066      .035     77.86
      26      14        .066      .016     80.39
      27      21        .035      .029    160.63
      27      19        .026      .023     98.42
      27      17        .024      .020     85.33
      27       7        .027      .024     68.52
      27      26        .028      .018    122.14
      28      16        .032      .025     88.17
      28      13        .022      .013     13.35
      28      11        .039      .031    113.17
      28      12        .041      .031     63.03
