    1   38,982410   -8,799910      3,50     -7,69
    2   39,015200   -8,850630      5,40     -7,73
    3   38,978210   -8,836520     12,02     -6,68
    4   39,023680   -8,790900     12,53     -6,98
    5   38,978010   -9,134840    295,16     25,69
    6   38,979230   -9,076710     99,29      2,95
    7   39,113310   -9,013820    180,98     10,98
    8   39,113450   -9,131650    184,16     11,99
    9   38,978140   -9,014440    185,33     12,42
   10   39,019110   -8,897850      2,23     -8,06
   11   39,024540   -8,950720     13,13     -6,79
   12   38,977980   -9,198150    167,23     13,63
   13   38,980530   -8,960090      2,45     -7,62
   14   39,070130   -9,121830    156,40      9,27
   15   39,112960   -8,955850     12,77     -7,69
   16   39,026190   -9,078770    276,00     22,41
   17   39,070790   -9,014980    170,32     10,09
   18   39,117010   -9,077650     93,36      1,61
   19   38,978290   -8,893030      1,17     -7,84
   20   39,115320   -9,195440    117,35      6,94
   21   39,113200   -8,891080     93,10      1,22
   22   39,071760   -8,893050     81,76      0,15
   23   39,026290   -9,196950    176,81     14,36
   24   39,023560   -9,020060     93,62      1,92
   25   39,069440   -8,949940      3,42     -8,34
   26   39,068890   -9,067500    185,49     11,96
   27   39,026510   -9,130570    249,98     20,21
   28   39,073000   -9,187490     90,82      4,29
   29   38,970630   -9,366820    152,33     17,51
   30   39,015630   -9,306360     53,28      4,81
   31   39,064170   -9,415290     51,60      8,99
   32   38,972220   -9,313770     83,82      7,90
   33   39,057010   -9,309390     54,39      5,33
   34   39,100730   -9,318960     79,88      8,57
   35   39,058820   -9,248870    111,48      9,22
   36   39,058980   -9,362770     14,26      2,27
   37   39,019160   -9,249350    192,85     17,78
   38   39,011990   -9,363530     26,74      3,32
   39   39,104910   -9,377470     24,88      4,24
   40   38,972410   -9,260190    129,42     11,73
   41   38,970740   -9,420270     23,75      5,98
   42   39,009690   -9,423650     32,04      7,23
   43   39,104330   -9,259080     39,43      1,54
   44   38,797700   -9,228810    230,45     28,19
   45   38,920710   -9,023640     52,98     -1,84
   46   38,929650   -9,144230    200,15     15,89
   47   38,841970   -9,080780     11,53     -3,31
   48   38,882550   -8,881420      2,69     -6,89
   49   38,925780   -9,087290    251,86     20,57
   50   38,839040   -9,212850     97,10      9,83
   51   38,883640   -9,145900    205,05     16,55
   52   38,838970   -8,880790     12,12     -4,86
   53   38,837370   -9,142340      1,92     -2,98
   54   38,885600   -9,205320    151,02     11,84
   55   38,792920   -8,918980     12,01     -2,99
   56   38,928670   -9,205230    167,24     14,31
   57   38,798540   -9,172610     54,32      6,73
   58   38,794290   -9,092370      5,37     -0,60
   59   38,929810   -8,886150      3,11     -7,22
   60   38,887470   -9,075390    171,89     11,72
   61   38,615010   -9,210100      7,68     13,75
   62   38,618260   -8,964130     40,16      6,73
   63   38,710480   -8,915460     32,78      1,85
   64   38,660180   -9,027160      5,24      3,46
   65   38,657560   -9,092100      2,75      5,06
   66   38,659730   -8,911320     38,88      3,95
   67   38,660520   -8,969540     18,41      3,34
   68   38,753150   -8,918690      3,45     -2,68
   69   38,658260   -9,199430     86,35     19,41
   70   38,614660   -8,907540     43,54      5,34
   71   38,749310   -9,179620     94,61     14,33
   72   38,754750   -9,094360      3,73      1,23
   73   38,654370   -9,143230     35,47     10,78
   74   38,713700   -9,133160    112,35     15,19
   75   38,704690   -8,979810      2,42      0,65
   76   38,710150   -9,187490     91,82     16,22
   77   38,744830   -8,982680      2,80     -0,67
   78   38,611310   -9,143050     38,17     13,37
   79   38,614300   -9,025770     53,97     10,42
   80   38,616360   -9,084990     32,37      9,89
   81   38,737100   -9,410110    117,49     29,37
   82   38,747080   -9,238170    136,31     21,41
   83   38,779640   -9,270420    193,56     26,85
   84   38,690090   -9,426120     12,49     24,31
   85   38,708760   -9,485280      8,18     28,26
   86   38,781500   -9,496520    133,11     32,28
   87   38,825530   -9,323590    156,44     21,03
   88   38,785990   -9,381990    360,02     47,11
   89   38,823860   -9,265570    301,04     35,29
   90   38,739780   -9,472990     20,12     24,23
   91   38,740600   -9,355720    118,88     25,00
   92   38,774330   -9,441490    490,20     63,92
   93   38,698330   -9,367440     34,86     19,83
   94   38,775890   -9,329000    160,58     25,66
   95   38,704190   -9,245410     93,35     19,39
   96   38,659080   -9,251000      2,12     12,95
   97   38,676080   -9,326650      8,62     16,64
   98   38,745150   -9,297910    156,72     26,29
   99   38,704410   -9,311560     17,84     14,43
  100   38,826760   -9,395900    155,68     23,80
  101   38,919780   -9,424640     61,86     10,18
  102   38,913500   -9,259320    315,21     32,43
  103   38,871890   -9,391780    144,85     18,20
  104   38,914540   -9,316680    208,88     22,57
  105   38,871200   -9,327050    170,09     19,08
  106   38,866780   -9,450420     24,23      8,27
  107   38,875010   -9,263030    238,14     24,54
  108   38,915380   -9,381390    150,77     17,51
  109   38,821470   -9,472360     34,42     16,26
  110   38,722370   -8,535560     62,53     -2,19
  111   38,613860   -8,838990     34,97      2,27
  112   38,711940   -8,652980     78,85      2,53
  113   38,758090   -8,696430     63,72      0,91
  114   38,754850   -8,595750     39,44     -3,39
  115   38,669190   -8,779380     23,27     -1,23
  116   38,618540   -8,655810     41,93     -0,79
  117   38,712720   -8,775060     44,35      0,34
  118   38,620320   -8,722770     38,96      0,23
  119   38,748930   -8,830200     25,20     -1,80
  120   38,674800   -8,533970    104,12      2,69
