    1   38,982410   -8,799910     23,50
    2   39,015200   -8,850630     27,04
    3   38,978210   -8,836520     26,39
    4   39,023680   -8,790900     22,27
    5   38,978010   -9,134840     57,34
    6   38,979230   -9,076710     50,76
    7   39,113310   -9,013820     41,88
    8   39,113450   -9,131650     54,54
    9   38,978140   -9,014440     43,80
   10   39,019110   -8,897850     31,25
   11   39,024540   -8,950720     36,44
   12   38,977980   -9,198150     64,37
   13   38,980530   -8,960090     37,95
   14   39,070130   -9,121830     54,63
   15   39,112960   -8,955850     35,98
   16   39,026190   -9,078770     50,52
   17   39,070790   -9,014980     42,68
   18   39,117010   -9,077650     48,60
   19   38,978290   -8,893030     31,34
   20   39,115320   -9,195440     61,28
   21   39,113200   -8,891080     29,90
   22   39,071760   -8,893050     30,28
   23   39,026290   -9,196950     63,93
   24   39,023560   -9,020060     43,92
   25   39,069440   -8,949940     35,83
   26   39,068890   -9,067500     48,53
   27   39,026510   -9,130570     56,44
   28   39,073000   -9,187490     61,88
   29   38,970630   -9,366820     80,78
   30   39,015630   -9,306360     75,53
   31   39,064170   -9,415290     84,20
   32   38,972220   -9,313770     76,10
   33   39,057010   -9,309390     75,06
   34   39,100730   -9,318960     74,25
   35   39,058820   -9,248870     68,88
   36   39,058980   -9,362770     79,96
   37   39,019160   -9,249350     69,70
   38   39,011990   -9,363530     80,86
   39   39,104910   -9,377470     79,18
   40   38,972410   -9,260190     70,88
   41   38,970740   -9,420270     84,99
   42   39,009690   -9,423650     85,82
   43   39,104330   -9,259080     68,29
   44   38,797700   -9,228810     60,52
   45   38,920710   -9,023640     45,13
   46   38,929650   -9,144230     58,16
   47   38,841970   -9,080780     50,15
   48   38,882550   -8,881420     31,89
   49   38,925780   -9,087290     51,97
   50   38,839040   -9,212850     61,90
   51   38,883640   -9,145900     57,48
   52   38,838970   -8,880790     32,61
   53   38,837370   -9,142340     55,69
   54   38,885600   -9,205320     63,34
   55   38,792920   -8,918980     36,01
   56   38,928670   -9,205230     64,57
   57   38,798540   -9,172610     56,42
   58   38,794290   -9,092370     49,82
   59   38,929810   -8,886150     31,48
   60   38,887470   -9,075390     50,39
   61   38,615010   -9,210100     43,57
   62   38,618260   -8,964130     36,92
   63   38,710480   -8,915460     36,02
   64   38,660180   -9,027160     40,66
   65   38,657560   -9,092100     43,37
   66   38,659730   -8,911320     35,63
   67   38,660520   -8,969540     38,10
   68   38,753150   -8,918690     36,18
   69   38,658260   -9,199430     47,37
   70   38,614660   -8,907540     35,11
   71   38,749310   -9,179620     53,82
   72   38,754750   -9,094360     48,43
   73   38,654370   -9,143230     45,17
   74   38,713700   -9,133160     48,73
