    1   38,982410   -8,799910        3,50   980080,56
    2   39,015200   -8,850630        5,40   980088,66
    3   38,978210   -8,836520       12,02   980088,92
    4   39,023680   -8,790900       12,53   980079,79
    5   38,978010   -9,134840      295,16   980153,85
    6   38,979230   -9,076710       99,29   980129,53
    7   39,113310   -9,013820      180,98   980154,93
    8   39,113450   -9,131650      184,16   980152,56
    9   38,978140   -9,014440      185,33   980130,94
   10   39,019110   -8,897850        2,23   980099,02
   11   39,024540   -8,950720       13,13   980110,88
   12   38,977980   -9,198150      167,23   980144,73
   13   38,980530   -8,960090        2,45   980106,04
   14   39,070130   -9,121830      156,40   980144,37
   15   39,112960   -8,955850       12,77   980129,53
   16   39,026190   -9,078770      276,00   980150,45
   17   39,070790   -9,014980      170,32   980143,86
   18   39,117010   -9,077650       93,36   980138,69
   19   38,978290   -8,893030        1,17   980097,75
   20   39,115320   -9,195440      117,35   980146,37
   21   39,113200   -8,891080       93,10   980124,92
   22   39,071760   -8,893050       81,76   980116,04
   23   39,026290   -9,196950      176,81   980148,98
   24   39,023560   -9,020060       93,62   980121,47
   25   39,069440   -8,949940        3,42   980121,67
   26   39,068890   -9,067500      185,49   980143,89
   27   39,026510   -9,130570      249,98   980152,81
   28   39,073000   -9,187490       90,82   980139,58
   29   38,970630   -9,366820      152,33   980155,63
   30   39,015630   -9,306360       53,28   980141,07
   31   39,064170   -9,415290       51,60   980163,33
   32   38,972220   -9,313770       83,82   980140,76
   33   39,057010   -9,309390       54,39   980146,10
   34   39,100730   -9,318960       79,88   980152,88
   35   39,058820   -9,248870      111,48   980144,18
   36   39,058980   -9,362770       14,26   980149,50
   37   39,019160   -9,249350      192,85   980148,89
   38   39,011990   -9,363530       26,74   980146,75
   39   39,104910   -9,377470       24,88   980159,37
   40   38,972410   -9,260190      129,42   980140,40
   41   38,970740   -9,420270       23,75   980149,02
   42   39,009690   -9,423650       32,04   980157,03
   43   39,104330   -9,259080       39,43   980139,68
   44   38,797700   -9,228810      230,45   980132,41
   45   38,920710   -9,023640       52,98   980113,34
   46   38,929650   -9,144230      200,15   980138,18
   47   38,841970   -9,080780       11,53   980089,13
   48   38,882550   -8,881420        2,69   980091,21
   49   38,925780   -9,087290      251,86   980140,12
   50   38,839040   -9,212850       97,10   980117,71
   51   38,883640   -9,145900      205,05   980127,75
   52   38,838970   -8,880790       12,12   980088,89
   53   38,837370   -9,142340        1,92   980097,61
   54   38,885600   -9,205320      151,02   980127,90
   55   38,792920   -8,918980       12,01   980081,26
   56   38,928670   -9,205230      167,24   980139,10
   57   38,798540   -9,172610       54,32   980103,67
   58   38,794290   -9,092370        5,37   980081,22
   59   38,929810   -8,886150        3,11   980095,85
   60   38,887470   -9,075390      171,89   980120,10
   61   38,615010   -9,210100        7,68   980083,61
   62   38,618260   -8,964130       40,16   980064,46
   63   38,710480   -8,915460       32,78   980073,60
   64   38,660180   -9,027160        5,24   980064,51
   65   38,657560   -9,092100        2,75   980067,47
   66   38,659730   -8,911320       38,88   980065,75
   67   38,660520   -8,969540       18,41   980064,48
   68   38,753150   -8,918690        3,45   980077,49
   69   38,658260   -9,199430       86,35   980094,00
   70   38,614660   -8,907540       43,54   980063,27
   71   38,749310   -9,179620       94,61   980102,81
   72   38,754750   -9,094360        3,73   980080,43
   73   38,654370   -9,143230       35,47   980061,74
   74   38,713700   -9,133160      112,35   980092,92
   75   38,704690   -8,979810        2,42   980067,22
   76   38,710150   -9,187490       91,82   980103,88
   77   38,744830   -8,982680        2,80   980070,02
   78   38,611310   -9,143050       38,17   980073,99
   79   38,614300   -9,025770       53,97   980066,61
   80   38,616360   -9,084990       32,37   980067,56
   81   38,737100   -9,410110      117,49   980140,88
   82   38,747080   -9,238170      136,31   980119,18
   83   38,779640   -9,270420      193,56   980133,16
   84   38,690090   -9,426120       12,49   980132,81
   85   38,708760   -9,485280        8,18   980138,42
   86   38,781500   -9,496520      133,11   980146,96
   87   38,825530   -9,323590      156,44   980132,77
   88   38,785990   -9,381990      360,02   980162,86
   89   38,823860   -9,265570      301,04   980145,79
   90   38,739780   -9,472990       20,12   980136,44
   91   38,740600   -9,355720      118,88   980134,19
   92   38,774330   -9,441490      490,20   980180,63
   93   38,698330   -9,367440       34,86   980125,52
   94   38,775890   -9,329000      160,58   980136,31
   95   38,704190   -9,245410       93,35   980111,11
   96   38,659080   -9,251000        2,12   980096,74
   97   38,676080   -9,326650        8,62   980115,65
   98   38,745150   -9,297910      156,72   980129,99
   99   38,704410   -9,311560       17,84   980114,38
  100   38,826760   -9,395900      155,68   980155,45
  101   38,919780   -9,424640       61,86   980144,78
  102   38,913500   -9,259320      315,21   980153,19
  103   38,871890   -9,391780      144,85   980146,72
  104   38,914540   -9,316680      208,88   980148,35
  105   38,871200   -9,327050      170,09   980138,42
  106   38,866780   -9,450420       24,23   980140,53
  107   38,875010   -9,263030      238,14   980139,92
  108   38,915380   -9,381390      150,77   980149,75
  109   38,821470   -9,472360       34,42   980140,63
  110   38,722370   -8,535560       62,53   980084,17
  111   38,613860   -8,838990       34,97   980072,98
  112   38,711940   -8,652980       78,85   980088,36
  113   38,758090   -8,696430       63,72   980088,99
  114   38,754850   -8,595750       39,44   980084,98
  115   38,669190   -8,779380       23,27   980075,61
  116   38,618540   -8,655810       41,93   980082,63
  117   38,712720   -8,775060       44,35   980086,01
  118   38,620320   -8,722770       38,96   980082,88
  119   38,748930   -8,830200       25,20   980083,10
  120   38,674800   -8,533970      104,12   980085,58
  121   38,758280   -8,528880      119,92   980092,19
  122   38,670050   -8,594670      100,65   980092,33
  123   38,623510   -8,604400       72,02   980086,26
  124   38,622490   -8,538510      107,06   980082,07
  125   38,664370   -8,710110       48,57   980081,64
  126   38,619860   -8,776020       31,03   980078,56
  127   38,707640   -8,589210      115,99   980093,93
  128   38,754880   -8,645510       71,18   980087,64
  129   38,709380   -8,831780       25,31   980078,21
  130   38,664040   -8,833960       22,41   980058,34
  131   38,664500   -8,642080       66,68   980085,31
  132   38,720020   -8,715320       64,45   980090,39
  133   38,936940   -8,748180        7,52   980084,53
  134   38,811970   -8,720170       37,78   980088,56
  135   38,883190   -8,682270       58,89   980088,56
  136   38,886880   -8,735830       60,88   980091,79
  137   38,940230   -8,796660       23,48   980090,30
  138   38,873500   -8,804060       23,12   980090,64
  139   38,838980   -8,611310       89,74   980089,03
  140   38,843110   -8,746620       54,99   980091,08
  141   38,793170   -8,622030       84,71   980089,55
  142   38,887280   -8,545460       94,51   980094,01
  143   38,809110   -8,796730       43,28   980091,16
  144   38,802200   -8,549660       41,90   980084,86
  145   38,835760   -8,851920       21,59   980089,97
  146   38,935270   -8,621760       10,36   980075,32
  147   38,796980   -8,696430       56,77   980089,03
  148   38,895170   -8,843720       18,30   980092,80
  149   38,787900   -8,847180       33,85   980087,52
  150   38,883790   -8,614540       68,74   980086,68
  151   38,936130   -8,853950       11,98   980094,24
  152   38,842850   -8,681610       59,18   980088,65
  153   38,928460   -8,673810       45,77   980084,72
  154   38,843010   -8,535820      112,91   980095,37
  155   38,852500   -8,773360       42,51   980090,96
  156   38,925460   -8,552200       17,08   980092,23
  157   39,142240   -8,586640      170,50   980129,91
  158   38,725700   -7,988130      399,60   980117,12
  159   39,535800   -8,636600      677,70   980228,00
  160   38,169260   -8,645560      325,42   980083,74
  161   39,453860   -9,201150      161,60   980173,59
  162   38,051360   -8,435600      117,01   980048,07
  163   39,437420   -8,918590      486,80   980205,61
  164   38,245830   -8,234790      105,70   980077,74
  165   38,448280   -7,800880      270,76   980084,22
  166   39,336160   -8,417330      198,50   980131,81
  167   39,694510   -8,130570      594,00   980209,38
  168   38,569150   -8,189940      424,34   980118,93
  169   39,173380   -9,048540      665,50   980200,35
  170   38,442370   -7,381590      342,44   980085,23
  171   38,246180   -7,783910      411,82   980093,38
  172   39,077310   -8,187330      235,70   980132,86
  173   38,739510   -7,584040      652,10   980138,33
  174   38,566160   -8,900270      232,22   980078,78
  175   39,360580   -9,407810       32,30   980160,58
  177   38,491900   -8,523100      185,70   980088,49
  178   38,322170   -8,005170      374,25   980092,83
  179   38,840580   -8,519040      134,60   980099,13
  180   38,452800   -9,106780      252,40   980092,37
  181   38,894280   -9,091050      350,50   980140,55
  182   39,367060   -8,011400      286,03   980145,46
  185   39,189130   -7,622730      412,80   980161,43
  186   38,916340   -7,654080      453,85   980133,31
  187   39,031110   -7,107150      236,90   980105,49
  188   38,839920   -7,258780      474,80   980120,89
  189   38,094170   -7,446110      275,68   980059,69
  190   38,012880   -7,873760      250,90   980070,12
  191   38,228470   -7,153800      284,04   980064,80
  192   39,575360   -7,630070      462,50   980178,57
  193   39,313510   -7,360510     1026,60   980209,60
  194   39,687170   -9,002540      138,40   980164,17
  195   37,794740   -7,450520      261,20   980050,03
  196   37,243490   -7,739010      526,07   980041,62
  197   37,700360   -7,761590      372,27   980042,36
  198   37,881550   -8,167590      247,71   980038,19
  199   37,283540   -8,860220      114,81   980028,39
  200   37,085510   -8,951810      156,49   980038,07
  201   37,088110   -8,718550      118,78   980002,30
  202   37,186560   -7,487360       58,56   979987,19
  203   37,794400   -8,718790      341,43   980042,46
  204   37,964400   -7,284310      523,71   980071,05
  205   37,315590   -8,596450      912,82   980095,73
  206   37,929700   -7,593480      288,89   980061,81
  207   37,101140   -7,933070      314,15   980005,51
  208   37,370740   -8,080360      577,68   980052,75
  209   37,138360   -8,394570      111,34   979970,75
  210   37,507280   -8,716790      229,92   980036,41
  211   37,618400   -8,072680      289,07   980030,26
  212   37,614990   -8,386380      394,79   980044,70
  213   37,148670   -8,791020      181,36   980030,53
  214   38,725830   -9,456670       87,50   980153,38
  215   38,823890   -9,445560      104,30   980156,91
  233   38,950280   -9,394720        6,90   980150,97
  235   38,744110   -9,392810      127,86   980151,33
  236   39,006390   -9,390560      151,10   980173,19
  237   39,124440   -9,390000       77,30   980174,04
  239   39,090830   -9,386940       50,90   980173,31
  241   38,762690   -9,384750      174,50   980157,06
  254   38,824830   -9,358020      138,66   980147,47
  259   38,989720   -9,346110      197,50   980169,13
  261   39,193330   -9,341670      113,00   980182,49
  262   39,378610   -9,341390       17,70   980169,33
  263   38,845970   -9,333550      126,53   980142,89
  266   38,906080   -9,329070      194,40   980157,39
  268   38,936980   -9,327260      233,94   980170,52
  276   39,131670   -9,319440      125,30   980169,93
  278   39,312780   -9,318890       91,30   980186,85
  286   39,275280   -9,296940      124,60   980186,17
  289   39,219440   -9,295830      153,10   980188,48
  290   39,066940   -9,292220      151,80   980164,56
  291   39,179440   -9,291940      103,40   980172,79
  295   39,381670   -9,284440       58,20   980176,44
  296   39,345280   -9,282500      117,60   980182,62
  297   38,891390   -9,281940      311,00   980160,37
  299   39,019750   -9,280100       46,16   980148,17
  308   38,747500   -9,273890      138,90   980134,88
  310   39,048690   -9,270750       39,25   980149,08
  312   39,132500   -9,269440      150,90   980165,99
  318   39,254440   -9,264170      133,50   980185,97
  345   39,354170   -9,239440      126,50   980176,01
  347   39,123690   -9,237000       62,73   980154,15
  348   39,182500   -9,234170      105,60   980166,93
  349   39,316670   -9,234170      136,10   980178,41
  352   38,782220   -9,231110      258,10   980143,83
  353   38,671070   -9,231100        9,69   980106,78
  354   39,095560   -9,230560      138,40   980154,86
  355   39,228890   -9,230280      101,50   980175,10
  356   38,727500   -9,227220      143,20   980127,98
  357   39,017500   -9,225280      395,40   980175,98
  358   38,694420   -9,220540        4,12   980108,32
  359   39,155710   -9,218880       63,92   980157,82
  360   38,415560   -9,216390      136,50   980114,58
  363   39,283610   -9,209440      176,80   980189,52
  366   38,823330   -9,204440      354,60   980151,35
  367   39,054170   -9,199440      203,70   980158,41
